Domain,Partition,Personal Domain - Knowledge (Cognitive),Personal Domain - Skills (Psychomotor),Personal Domain - Attitudes (Affective),Partition,Team Domain - Knowledge (Cognitive),Team Domain - Skills (Psychomotor),Team Domain - Attitudes (Affective),,Enterprise Domain - Knowledge (Cognitive),Enterprise Domain - Skills (Psychomotor),Enterprise Domain - Attitudes (Affective)
Data Visualization,P31,Recognize ambiguity and misleading presentation of data.31,,,T31,Select most appropriate visualization for their data.30,,,E31,"Critique visualizations produced by research personnel.31, 33",,
Data Visualization,P32,"Learners list a variety of types of visualizations, note those that are frequently used within their discipline, and recognize them by format or appearance.36",Detect specific visualization types by format or appearance.36,Understand that  types of visualizations display different content and/or contextual meaning.36,T32,Learners articulate the advantages and disadvantages for a variety of data visualization types.35,"Alter selection of data visualization type based upon content or contextual meaning.31, 35",Discuss the strengths/ weaknesses of the data visualization created in terms of content/meaning displayed. ,E32,"Learners recommend specific data visualization types to research personnel based upon criteria specific to the data being represented.35,36","Identify criteria based upon best practices of visualization design and specific research communication goals.34,35",Help supervisees to understand best practices of visualization design through instruction and mentoring. 
Data Visualization,P32,List variety of types of visualizations.36 State visualizations frequently used in   their discipline. 32,,,T32,"Describe the different strengths and weaknesses of data visualization types for their own data.31,32,35,36",,,E32,Recommend specific data visualization types based upon articulated criteria.35,,
"Ethics, including citation of data",P33,"Learner identifies data as the intellectual property of a person or entity similar to articles, books, or music. ","Describe intellectual property of data in terms of articles, books, and other familiar IP.19","Conform with fair use and ethical use of intellectual property, including data. 19",T33,"Learners recognize that data is intellectual property governed by local policies and government laws and regulations and that correspondingly, their behavior toward the data is sometimes influenced by larger trends at the university and in society.36","Describe how those policies, laws and regulations can change how the learner interacts with their own data. ","Comply with all relevant policies, laws and regulations. ",E33,Learners recognize that they are ultimately accountable for the data collected in their research group and can be held liable to university policy and state and federal laws and regulations.36,Initiate compliance checks for all data sets produced within the research group. ,"Conform to all relevant policies, laws and regulations. "
"Ethics, including citation of data",P33,Identify data as intellectual property.19,,,T33,"Discuss the content of policies, laws and regulations applicable to their data. ",,,E33,"Relate relevant policies, laws and regulations to all members of research group. ",,
"Ethics, including citation of data",P34,"Learners cite data as well as articles, books, or any other resource used in compiling a new scholarly work.19, 37",Differentiate the citation style for a citation of a book versus that of a data source.38,Label the parts of the citation for data sets as well as book or article citations.19,T34,"Learners post data sets with recommended citations, including Digital Object Identifier, to encourage reuse. ",Register a file for a DOI via uploading the data set to a repository.38,Verify impact of the data set through statistics collected via the repository or an independent organization.38,E34,Learners track metrics for cited data sets and include those metrics within promotion and tenure documents. Learners recommend the inclusion of data sets as scholarly works worth consideration in promotion and tenure processes. ,"Assemble portfolios, dossiers and curriculum vitae with impact statistics featured. ",Influence departments and colleges to include impact metrics for data sets as one measure of impact towards promotion and tenure.
"Ethics, including citation of data",P34,Write citations for data as well as books or other resources while compiling scholarly works. ,,,T34,Prepare a recommended citation for all data sets shared publically.37.38,,,E34,Track metrics for cited data sets through statistics collected via repository or independent organization.38,,
"Ethics, including citation of data",P35,Learners state that data including information about individual persons are subject to greater care and scrutiny for research and data management. ,Differentiate between personally identifying and non-personally identifying data. ,Discuss the need for privacy when personal data is collected using FERPA or HIPAA data as an exemplar.,T35,Learners honor the confidentiality and privacy of their research participants by getting their research approved by Institutional Review Boards (as appropriate) and anonymizing data sets by removing personal identifiers (both direct and indirect) as appropriate.39,Follow best practices for anonymizing data sets.41,"Conform to institutional, disciplinary, and state and federal laws and regulations governing data. ",E35,Learners select their storage solutions to match the level of confidentiality and privacy required for their data sets. Learners acknowledge that not all storage solutions are appropriate for human subject data and discuss options with campus IT personnel. ,Adapt storage solutions as requirements for confidentiality and privacy change. ,Ask for assistance to identify best possible tech solutions for private and/or confidential data sets. 
"Ethics, including citation of data",P35,Identify personal data as different for management and access purposes than non-personally identifying data. ,,,T35,Develop an IRB protocol for research involving human subject. Take required human subject research training.41,,,E35,Construct a storage solution based upon confidentiality and privacy needs as well as available resources. ,,
"Ethics, including citation of data",P36,Learners locate the ethical statements for their disciplinary bodies and investigate them for the presence of information about data management or handling.40,Detect information on data management or handling. ,Conform with disciplinary ethical guidelines for data management or handling.,T36,"Learners personally subscribe to the ethical statements of their disciplinary bodies, including those statements covering the care and handling of data in an ethical manner. ",Proceed according to best practices or ethical guidelines outlined by disciplinary body.40,Discuss understanding of obligations with research personnel and supervisors.,E29,"Learners interpret the ethical statements of disciplinary bodies as those statements interact with the institutional policies, state and local regulations, and requests by publishers for data. Learners explain these interplays to research personnel in their research groups. ",Note if there are any conflicts or tensions between the expectations of the documents. ,Influence others in research group to carefully consider all ethical requirements while in pursuit of research.39
